EP,單元名稱,日期,原唱,歌名,年份,速度,原調,原音域,長志調,長志音域,YouTube連結,開始秒數,FB連結
0,,2020/3/17,許哲珮,氣球,2001,,bE,bB3-D5,bA,bE4-G5,,,
0,,2020/3/17,林良樂,冷井情深,1986,,Ｃ,G3-C5,E,B3-E5,,,
0,,2020/3/17,張國榮,我,2000,,B,B3-#F5,bD,bD4-bA5,,,
1,【私藏男歌手】零五年的她還記得嗎？,2020/3/25,伍佰,夜照亮了夜,2005,,,,bA,bE4-bA5,https://www.youtube.com/watch?v=eiw66Ba_bJs,03:00,
1,【私藏男歌手】零五年的她還記得嗎？,2020/3/25,陶喆,她的歌,2005,,,,A,#F3-A4 (後半段升8度),https://www.youtube.com/watch?v=eiw66Ba_bJs,10:38,
1,【私藏男歌手】零五年的她還記得嗎？,2020/3/25,林志炫,進退兩難,2005,,,,bA,bE4-bE6,https://www.youtube.com/watch?v=eiw66Ba_bJs,17:07,
2,【特選女聲】是演員，也是歌手,2020/4/1,趙薇,耳洞,1999,,,,G,,https://www.youtube.com/watch?v=Q_qGkFK01rs,05:37,
2,【特選女聲】是演員，也是歌手,2020/4/1,張柏芝,怎麼會那麼笨,2000,,,,bG,,https://www.youtube.com/watch?v=Q_qGkFK01rs,10:22,
2,【特選女聲】是演員，也是歌手,2020/4/1,李心潔,愛錯,2003,,,,#Fm,,https://www.youtube.com/watch?v=Q_qGkFK01rs,17:24,
,快閃,2020/4/7,原味醞釀,只想愛你,2013,,,,A,,https://www.youtube.com/watch?v=2YfRQkkq6y8,01:20,
3,【獨愛特輯】捲入愛情漩渦的三種姿態,2020/4/8,王菲,我也不想這樣,1997,,,,F,,https://www.youtube.com/watch?v=enxmTpfjkf4,07:07,
3,【獨愛特輯】捲入愛情漩渦的三種姿態,2020/4/8,洪鐘,半個月亮,1969,,,,C,,https://www.youtube.com/watch?v=enxmTpfjkf4,13:00,
3,【獨愛特輯】捲入愛情漩渦的三種姿態,2020/4/8,鄧麗君,千言萬語,1973,,,,bB,,https://www.youtube.com/watch?v=enxmTpfjkf4,19:24,
4,【獨愛特輯】愛，自己,2020/4/15,黃鶯鶯,夢不到你,1989,,,,bG,,https://www.youtube.com/watch?v=Ch7J38cqEZss,09:07,
4,【獨愛特輯】愛，自己,2020/4/15,洛克班,我想你的快樂是因為我,2004,,,,A,,https://www.youtube.com/watch?v=Ch7J38cqEZs,17:58,
4,【獨愛特輯】愛，自己,2020/4/15,孫燕姿,逃亡,2001,,,,B,,https://www.youtube.com/watch?v=Ch7J38cqEZs,28:30,
5,【獨愛特輯】下個路口見,2020/4/22,張震嶽,路口,2007,,,,G,,https://www.youtube.com/watch?v=j6GszbO6VXs,07:57,
